scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
mista/media	g4-park	16	90.111900	8.252400	77.221100	77.616600	71.833500	77.635140	0.665839	665838.807083	14.081445	88.009030	1.086750	1.158786
mista/media	all	16	88.472400	8.809300	79.629500	82.616900	92.916200	86.606000	0.678178	678177.601150	13.675449	85.471558	1.106889	1.180260
mista/media	final	16	91.191500	19.895900	79.191300	82.627000	77.374433	82.964370	0.657956	657956.059501	13.364732	83.529578	1.073884	1.145067
mista/media	TBB	16	97.929100	36.876700	75.106700	76.119600	76.067833	76.169730	0.612688	612688.159087	13.242999	82.768745	1.000000	1.066286
mista/media	WinTP	16	104.420400	32.345300	70.067200	70.596400	64.776533	70.641500	0.574600	574600.365446	14.215374	88.846085	0.937835	1.000000
mista/alta	oficial	16	200.755600	14.306100	106.998100	109.910800	101.224133	110.285700	0.597742	597741.731737	14.969922	93.562014	1.020072	1.073065
mista/alta	g1-ring	16	199.368100	19.178000	85.479000	89.247500	98.280767	95.375160	0.601902	601901.708448	14.577307	91.108169	1.027171	1.080533
mista/alta	g2-sub	16	201.213900	7.347800	196.219300	197.880900	173.606400	198.084760	0.596380	596380.269952	15.453083	96.581766	1.017748	1.070621
mista/alta	g3-wrk	16	200.092800	21.971500	92.058500	97.409400	91.146633	98.005790	0.599722	599721.729118	15.305398	95.658739	1.023451	1.076620
mista/alta	g4-park	16	201.357300	21.601000	95.025600	98.524800	100.029433	99.282810	0.595956	595955.547676	15.540730	97.129565	1.017023	1.069859
mista/alta	all	16	199.545500	7.186200	143.909000	145.764900	162.956633	146.663320	0.601367	601366.605611	14.598058	91.237863	1.026258	1.079573
mista/alta	final	16	199.645700	26.454400	68.554100	77.177200	71.938467	77.982410	0.601065	601064.786269	15.574465	97.340407	1.025743	1.079031
mista/alta	TBB	16	204.785100	80.841400	161.718500	163.635200	164.263833	163.814200	0.585980	585980.132344	15.972384	99.827400	1.000000	1.051951
mista/alta	WinTP	16	215.423900	72.228200	153.804100	155.563900	155.268833	155.748800	0.557041	557041.256796	14.211194	88.819964	0.950615	1.000000
mista/ultra	oficial	16	359.551300	12.212000	68.981900	82.097200	87.630733	83.539450	0.500624	500623.972156	15.905241	99.407755	0.944958	0.942038
mista/ultra	g1-ring	16	331.916200	22.755000	83.101500	99.819100	99.019533	102.904880	0.542306	542305.557849	15.581870	97.386686	1.023635	1.020471
